Cluster id, Similar Clusters
0,1022,1023,1024,1025,1026,1027,1306,1307,1335,1336,1339,1340,349,407,457,458,466,544,545,653,654,655,656,785,803,805
1,63
2,1393,73
3,216
4,29
7,1408
9,1406,47
12,1043,231
14,167
15,164
16,202,370,494,90
18,152,71
21,554
28,1436,1481,1577
35,1010
36,253
37,1293
39,109
41,297
42,727
43,707
44,65
49,204,445
51,56,698,699,70,735,955
55,354,569,809
58,128,385,620
59,1282,380
60,162
61,134,1535
66,186
67,478
69,285
72,223,324
76,214
78,274
79,1386
83,181,564
85,1271
86,1274
89,108
91,147
92,115,170
93,998
95,360,389,992
96,581
99,309
105,1159,1607,1622,414,418,610,956
111,1187,683
112,570
114,283
116,514
117,215,489
121,1174,1195,183
122,199,476,567
124,711
133,675
135,364
138,1321,207
139,755,980
141,1161
143,1376
145,935
151,501,952
153,245
154,515
160,1008,401
163,1031,420
166,588
171,1588,495,621
172,500,951
175,190,509
176,218,592,767
177,1284
178,201,217,255,289,427
179,1398
193,522
197,1410,305
203,313
210,891
212,1196
220,372
225,444
227,330,987
228,1281,988
229,532
230,262,769
233,235,777
237,684
238,261,344,763
242,1067
244,426
247,282
250,1126
251,252,288
256,983
257,792,989
259,1045,260,387
265,635,772
267,406
269,685
271,273
275,708
276,484
277,1411
281,431
284,539
296,1510
299,300,355
303,304
314,374
315,557,616
317,608
318,1098
320,749
323,695
325,794
328,447,984
331,768
332,1071
334,645
336,393
337,1005
338,505
358,697
361,578,912
362,480,925
366,1000
368,587
371,430,725
375,607
376,377
382,754
383,979
394,1296
395,553
396,460
397,547
399,646
402,1009
433,604
435,609,740
438,1252
440,1427
441,516
442,443
446,517
448,759
450,521
454,632,995
474,1183
485,1244,712,719
491,930
496,944
497,1547,945
502,798,953
510,1055
513,957
524,1257
528,529
531,826
537,1001
538,1302
549,1037
575,702
582,713
583,1215
595,857
596,936
600,1222
612,613
617,745
627,628
638,639
676,1615
694,899
709,927
726,940
728,1264
734,1229
746,1249
757,1273
758,1279
766,970
781,1301
786,981,982
818,1080
822,866
845,1434
864,1120
867,1117
885,900
949,1225
967,1226
975,1254
977,978
1029,1033
1099,1474
1102,1489
1188,1189
1240,1241
